,name,start,end,college,lon,lat,loc,info,loc_type,desc
687,毕井泉,2001,2003,,116.4,39.9,北京市北京市北京市,国家发展计划委员会,0,"2001.07—2003.04, 国家发展计划委员会经贸流通司司长"
688,毕井泉,2003,2005,,116.4,39.9,北京市北京市北京市,国家,1,"2003.04—2005.09, 国家发展和改革委员会经济贸易司司长"
689,毕井泉,2005,2006,,116.4,39.9,北京市北京市北京市,国家,1,"2005.09—2006.01, 国家发展和改革委员会秘书长"
690,毕井泉,2006,2006,,116.4,39.9,北京市北京市北京市,国家,1,"2006.01—2006.06, 国家发展和改革委员会副主任、党组成员兼秘书长"
691,毕井泉,2006,2008,,116.4,39.9,北京市北京市北京市,国家,1,"2006.06—2008.03, 国家发展和改革委员会副主任、党组成员"
692,毕井泉,2008,2015,,116.4,39.9,北京市北京市北京市,国务院,0,"2008.03—2015.01, 国务院副秘书长、机关党组成员[1]"
693,毕井泉,2015,2018,,116.4,39.9,北京市北京市北京市,国家,1,"2015.01—, 国家食品药品监督管理总局局长、党组书记"
694,曲青山,1973,1975,,101.43,36.05,青海省海南藏族自治州贵德县,东沟,3,"1973.12—1975.07,青海省贵德县东沟乡上兰角村知青；"
695,曲青山,1975,1978,,101.78,36.62,青海省西宁市西宁市,青海省,1,"1975.07—1978.10,青海省土产杂品公司团委书记；"
696,曲青山,1978,1982,陕西师范大学,116.4,39.9,北京市北京市北京市,陕西师范大学,1,"1978.10—1982.08,陕西师范大学历史系历史专业学习；"
697,曲青山,1982,1984,,101.78,36.62,青海省西宁市西宁市,青海省,1,"1982.08—1984.04,青海省机床铸造厂办公室干部；"
698,曲青山,1984,1984,,101.78,36.62,青海省西宁市西宁市,青海,1,"1984.04—1984.09,青海省委干部理论教育讲师团讲师；"
699,曲青山,1984,1986,,116.4,39.9,北京市北京市北京市,中央党校,0,"1984.09—1986.07,中央党校研究生部中共党史专业学习；"
700,曲青山,1986,1991,,101.78,36.62,青海省西宁市西宁市,青海,1,"1986.07—1991.03,青海省委干部理论教育讲师团讲师；"
701,曲青山,1991,1994,,101.78,36.62,青海省西宁市西宁市,青海,1,"1991.03—1994.12,青海省委干部理论教育讲师团副团长；"
702,曲青山,1994,1997,,101.78,36.62,青海省西宁市西宁市,中央党校,1,"1994.12—1997.10,青海省委干部理论教育讲师团团长（1995.09—1997.07 在中央党校培训部二年制中青班学习）；"
703,曲青山,1997,1999,,101.78,36.62,青海省西宁市西宁市,社会科学院,1,"1997.10—1999.11,青海省社会科学院副院长；"
704,曲青山,1999,2000,,101.78,36.62,青海省西宁市西宁市,青海,1,"1999.11—2000.04,青海省委宣传部常务副部长（正厅级）；"
705,曲青山,2000,2001,,101.78,36.62,青海省西宁市西宁市,西宁,3,"2000.04—2001.01,青海省委宣传部常务副部长（正厅级）、西宁市委副书记；"
706,曲青山,2001,2002,,101.78,36.62,青海省西宁市西宁市,青海,1,"2001.01—2002.05,青海省委宣传部部长；"
707,曲青山,2002,2009,,101.78,36.62,青海省西宁市西宁市,青海,1,"2002.05—2009.10,青海省委常委、宣传部部长；"
708,曲青山,2009,2014,,116.4,39.9,北京市北京市北京市,中共中央党史研究室,0,"2009.10—2014.01,中共中央党史研究室副主任。[2]"
709,曲青山,2014,2018,,116.4,39.9,北京市北京市北京市,中共中央党史研究室,0,"2014.01—,中共中央党史研究室主任"
710,朱生岭,1994,2005,,122.2,30,浙江省舟山市舟山市,舟山,3,"1994.05—2005.08, 起历任南京军区海防第6旅政委；浙江省舟山警备区副政委；第12集团军36师政委；第1集团军1师政委；"
711,朱生岭,2005,2009,,116.4,39.9,北京市北京市北京市,任,1,"2005.08—2009.05,任第31集团军政治部主任；"
712,朱生岭,2009,2009,,119.3,26.08,福建省福州市福州市,福建省,1,"2009.05—2009.09,任福建省军区政委；"
713,朱生岭,2009,2013,,119.3,26.08,福建省福州市福州市,福建,1,"2009.09—2013.03,任福建省委常委、省军区政委；"
714,朱生岭,2013,2014,,121.47,31.23,上海市上海市上海市,上海,3,"2013.03—2014.12,任上海警备区政委、上海市委常委（2013.6）；"
715,朱生岭,2014,2016,,118.78,32.07,江苏省南京市南京市,南京军区,3,"2014.12—2016.02,任南京军区政治部主任；"
716,朱生岭,2016,2016,,116.4,39.9,北京市北京市北京市,中国共产党,0,"2016.02—2016.12,任中国共产党中央军事委员会国防动员部政治委员；"
717,朱生岭,2016,2017,,116.4,39.9,北京市北京市北京市,中国人民武装警察部队,0,"2016.12—2017.9.6,任中国人民武装警察部队政治委员。"
718,朱生岭,2017,2018,,116.4,39.9,北京市北京市北京市,解放军,0,"2017.9.6—,在解放军党代表大会上选举为出席党的十九大代表"
719,刘奇,1974,1977,,119.82,28.9,浙江省金华市武义县,桃溪,3,"1974.0—1977.03,浙江省武义县桃溪滩乡公社知青；"
720,刘奇,1977,1980,浙江大学,116.4,39.9,北京市北京市北京市,浙江大学,1,"1977.03—1980.03,浙江大学化工系高分子化工专业学习；"
721,刘奇,1980,1992,,118.87,28.93,浙江省衢州市衢州市,衢州,3,"1980.03—1992.01,浙江省衢州化学工业公司电化厂调度员、调度室副主任、烧碱车间副主任,电化厂副厂长、厂长、厂长兼党委书记；"
722,刘奇,1992,1996,,120.15,30.28,浙江省杭州市杭州市,浙江,1,"1992.01—1996.01,浙江化工厂副厂长兼浙江善高化学有限公司总经理；"
723,刘奇,1996,1996,,120.15,30.28,浙江省杭州市杭州市,浙江省,1,"1996.01—1996.08,浙江省石油化学工业厅副厅长、党组成员；"
724,刘奇,1996,1997,,120.15,30.28,浙江省杭州市杭州市,浙江,1,"1996.08—1997.04,浙江省石油化学工业厅副厅长、党组副书记（1994.09—1996.12,浙江省委党校领导干部研究生班政治经济学专业学习）；"
725,刘奇,1997,1997,,120.15,30.28,浙江省杭州市杭州市,经济委员会,1,"1997.04—1997.09,浙江省计划与经济委员会副主任；"
726,刘奇,1997,1998,,120.15,30.28,浙江省杭州市杭州市,浙江省,1,"1997.09—1998.07,浙江省巨化集团公司总经理、副董事长、党委委员；"
727,刘奇,1998,1998,,118.87,28.93,浙江省衢州市衢州市,衢州,3,"1998.07—1998.09,浙江省巨化集团公司总经理、副董事长、党委书记,衢州市委常委；"
728,刘奇,1998,2000,,118.87,28.93,浙江省衢州市衢州市,衢州,3,"1998.09—2000.02,浙江省巨化集团公司董事长、党委书记、总经理,衢州市委常委；"
729,刘奇,2000,2000,,118.87,28.93,浙江省衢州市衢州市,中央党校,3,"2000.02—2000.02,浙江省巨化集团公司董事长、党委书记,衢州市委常委（其间：2002.03—2003.01,中央党校一.制中青.干部培训班学习）；"
730,刘奇,2003,2003,,120.7,28,浙江省温州市温州市,温州,3,"2003.02—2003.05,浙江省温州市委副书记、代市长；"
731,刘奇,2003,2006,,120.7,28,浙江省温州市温州市,温州,3,"2003.05—2006.03,浙江省温州市委副书记、市长；"
732,刘奇,2006,2008,,125.15,42.92,吉林省辽源市西安区,西安交通大学,3,"2006.03—2008.01,浙江省发展和改革委员会主任、党组书记（2003.03—2006.11,西安交通大学应用经济学专业在职研究生学习,获经济学博士学位）；"
733,刘奇,2008,2008,,120.15,30.28,浙江省杭州市杭州市,人大常委会,1,"2008.01—2008.04,浙江省人大常委会副主任；"
734,刘奇,2008,2011,,120.15,30.28,浙江省杭州市杭州市,人大常委会,1,"2008.04—2011.01,浙江省人大常委会副主任、省总工会主席；"
735,刘奇,2011,2011,,121.55,29.88,浙江省宁波市宁波市,宁波,3,"2011.01—2011.02,浙江省宁波市委副书记、代市长；"
736,刘奇,2011,2013,,121.55,29.88,浙江省宁波市宁波市,宁波,3,"2011.02—2013.04,浙江省宁波市委副书记、市长；"
737,刘奇,2013,2016,,121.55,29.88,浙江省宁波市宁波市,宁波,3,"2013.04—2016.02,浙江省委常委、宁波市委书记；"
738,刘奇,2016,2016,,115.85,28.68,江西省南昌市南昌市,江西省委,1,"2016.02—2016.07,江西省委副书记、省委党校校长；"
739,刘奇,2016,2016,,115.85,28.68,江西省南昌市南昌市,人民政府,1,"2016.07—2016.09,江西省委副书记、省委党校校长,省人民政府副省长、代理省长、党组书记；"
740,刘奇,2016,2016,,115.85,28.68,江西省南昌市南昌市,人民政府,1,"2016.09—2016.11,江西省委副书记、省委党校校长,省人民政府省长、党组书记；"
741,刘奇,2016,2018,,115.85,28.68,江西省南昌市南昌市,人民政府,1,"2016.11—,江西省委副书记,省人民政府省长、党组书记。"
742,刘雷,1957,1983,,116.4,39.9,北京市北京市北京市,历任,1,"—1983.6,历任陆军第21军63师189团战士、文书、卫生班长、团司令部保密员、后勤处参谋、政治处干事、一机炮连指导员等职。此期间,被评为学习雷锋先进个人、荣立三等功3次。"
743,刘雷,1983,1986,,116.4,39.9,北京市北京市北京市,任陆军,1,"1983.6—1986.6,任陆军第21军政治部干部处副营职干事、63师炮团加榴炮营教导员；"
744,刘雷,1986,1988,,103.82,36.07,甘肃省兰州市兰州市,兰州军区,3,"1986.6—1988,任兰州军区政治部干部部科技干部处副团职干事；"
745,刘雷,1988,1991,,116.4,39.9,北京市北京市北京市,被,1,"1988—1991.3,被授予中校军衔；"
746,刘雷,1991,1994,国防大学,116.4,39.9,北京市北京市北京市,任,1,"1991.3—1994,任科技干部处处长(期间入国防大学学习一)；"
747,刘雷,1994,1994,,116.4,39.9,北京市北京市北京市,晋升为,1,"1994—1994.12,晋升为上校军衔；"
